,close,MA_Short,MA_Long,MA_True,MA_Cross,,,,,,5,10
47,3785,3787.274993,3787.529592,-1,-1,3787.274993,7.1755E-08,3787.530935,0.001342512,,,
48,3787,3787.183328,3787.433298,-1,0,3787.183329,4.78371E-08,3787.434401,0.001103584,,,
49,3785,3786.455552,3786.990861,-1,0,3786.455552,3.85585E-08,3786.991783,0.000922362,,,
50,3783,3785.303702,3786.265223,-1,0,3785.303702,1.90394E-08,3786.266004,0.000780722,,,
51,3787,3785.869134,3786.398823,-1,0,3785.869134,1.26934E-08,3786.399458,0.000634845,,,
52,3784,3785.24609,3785.962663,-1,0,3785.24609,1.17957E-08,3785.963193,0.000529909,,,
53,3782,3784.16406,3785.242165,-1,0,3784.16406,1.11972E-08,3785.242612,0.000447734,,,
54,3786,3784.77604,3785.379955,-1,0,3784.77604,4.13183E-09,3785.380319,0.000364107,,,
55,3787,3785.51736,3785.674513,-1,0,3785.51736,6.08861E-09,3785.674807,0.000294034,,,
56,3786,3785.67824,3785.733693,-1,0,3785.67824,-2.60752E-09,3785.733933,0.000239932,,,
57,3783,3784.785493,3785.236653,-1,0,3784.785493,-1.73804E-09,3785.236854,0.000200691,,,
58,3784,3784.523662,3785.011806,-1,0,3784.523662,5.50835E-09,3785.011971,0.000165822,,,
59,3777,3782.015775,3783.555105,-1,0,3782.015775,3.39242E-10,3783.555249,0.000144266,,,
60,3784,3782.677183,3783.635995,-1,0,3782.677183,3.55931E-09,3783.636113,0.000117654,,,
61,3788,3784.451455,3784.429454,1,1,3784.451455,2.37287E-09,3784.429547,9.31195E-05,,,
62,3787,3785.30097,3784.896828,1,0,3785.30097,-1.75123E-09,3784.896902,7.46805E-05,,,
63,3789,3786.53398,3785.642861,1,0,3786.53398,-4.50063E-09,3785.64292,5.91259E-05,,,
64,3792,3788.355987,3786.798707,1,0,3788.355987,3.66663E-09,3786.798753,4.58793E-05,,,
65,3790,3788.903991,3787.380761,1,0,3788.903991,2.44472E-09,3787.380798,3.65031E-05,,,
66,3792,3789.935994,3788.220624,1,0,3789.935994,4.96357E-09,3788.220653,2.86534E-05,,,
67,3794,3791.290663,3789.271421,1,0,3791.290663,-3.3574E-09,3789.271443,2.21937E-05,,,
68,3790,3790.860442,3789.40389,1,0,3790.860442,-2.23827E-09,3789.403908,1.80312E-05,,,
69,3787,3789.573628,3788.966819,1,0,3789.573628,1.84127E-09,3788.966834,1.50965E-05,,,
70,3787,3788.715752,3788.609215,1,0,3788.715752,-2.10548E-09,3788.609228,1.25835E-05,,,
71,3778,3785.143835,3786.680266,-1,-1,3785.143835,-1.4029E-09,3786.680277,1.13228E-05,,,
72,3782,3784.09589,3785.829308,-1,0,3784.09589,-4.26871E-09,3785.829318,9.63869E-06,,,
73,3783,3783.730593,3785.314888,-1,0,3783.730593,3.82124E-09,3785.314896,8.06256E-06,,,
74,3783,3783.487062,3784.893999,-1,0,3783.487062,-7.85349E-10,3784.894006,6.71937E-06,,,
75,3781,3782.658041,3784.185999,-1,0,3782.658041,-3.85626E-09,3784.186005,5.66948E-06,,,
76,3781,3782.105361,3783.606727,-1,0,3782.105361,-2.57069E-09,3783.606731,4.7523E-06,,,
77,3786,3783.403574,3784.041867,-1,0,3783.403574,-1.71349E-09,3784.041871,3.82189E-06,,,
78,3782,3782.935716,3783.670619,-1,0,3782.935716,2.19143E-09,3783.670622,3.17427E-06,,,
79,3784,3783.290477,3783.730506,-1,0,3783.290477,4.79486E-09,3783.730509,2.59077E-06,,,
80,3782,3782.860318,3783.415869,-1,0,3782.860318,-1.36879E-10,3783.415871,2.1479E-06,,,
81,3778,3781.240212,3782.431165,-1,0,3781.240212,-9.09495E-11,3782.431167,1.82828E-06,,,
82,3780,3780.826808,3781.989135,-1,0,3780.826808,3.27282E-09,3781.989137,1.52314E-06,,,
83,3780,3780.551205,3781.627474,-1,0,3780.551205,-4.48426E-09,3781.627475,1.26529E-06,,,
84,3782,3781.034137,3781.695206,-1,0,3781.034137,3.44244E-10,3781.695207,1.02433E-06,,,
85,3786,3782.689425,3782.477896,1,1,3782.689425,2.29647E-10,3782.477897,8.18998E-07,,,
86,3779,3781.459616,3781.845551,-1,-1,3781.459616,3.48655E-09,3781.845552,6.80089E-07,,,
87,3779,3780.639744,3781.328178,-1,0,3780.639744,-4.34193E-09,3781.328179,5.75527E-07,,,
88,3780,3780.426496,3781.086691,-1,0,3780.426496,3.77213E-09,3781.086692,4.74522E-07,,,
89,3781,3780.617664,3781.070929,-1,0,3780.617664,2.51475E-09,3781.07093,3.83699E-07,,,
90,3787,3782.745109,3782.148942,1,1,3782.745109,-4.98994E-09,3782.148942,3.07572E-07,,,
91,3783,3782.830073,3782.30368,1,0,3782.830073,3.34057E-09,3782.30368,2.48013E-07,,,
