,close,MA_Short,MA_Long,MA_True,MA_Cross
296,3815,3813.38154966,3813.39948654,-1,0
297,3806,3810.9210331,3812.05412535,-1,0
298,3809,3810.28068874,3811.49882983,-1,0
299,3801,3807.18712582,3809.58995168,-1,0
300,3798,3804.12475055,3807.48268774,-1,0
301,3798,3802.08316703,3805.7585627,-1,0
302,3795,3799.72211136,3803.80246039,-1,0
303,3797,3798.8147409,3802.56564941,-1,0
304,3802,3799.87649394,3802.46280406,-1,0
305,3795,3798.25099596,3801.1059306,-1,0
306,3799,3798.50066397,3800.72303412,-1,0
307,3799,3798.66710931,3800.40975519,-1,0
308,3802,3799.77807288,3800.69889061,-1,0
309,3804,3801.18538192,3801.29909232,-1,0
310,3806,3802.79025461,3802.15380281,1,1
311,3804,3803.19350307,3802.48947502,1,0
312,3803,3803.12900205,3802.58229775,1,0
313,3804,3803.4193347,3802.84006179,1,0
314,3800,3802.27955647,3802.32368692,-1,-1
315,3806,3803.51970431,3802.99210748,1,1
316,3809,3805.34646954,3804.08445158,1,0
317,3810,3806.89764636,3805.16000583,1,0
318,3811,3808.26509757,3806.22182296,1,0
319,3813,3809.84339838,3807.45421878,1,0
320,3808,3809.22893225,3807.55345173,1,0
321,3809,3809.1526215,3807.81646051,1,0
322,3813,3810.435081,3808.75892223,1,0
323,3810,3810.290054,3808.98457274,1,0
324,3811,3810.52670267,3809.35101406,1,0
325,3809,3810.01780178,3809.28719332,1,0
326,3811,3810.34520119,3809.59861272,1,0
327,3813,3811.23013412,3810.21704677,1,0
328,3813,3811.82008942,3810.72303826,1,0
329,3799,3807.54672628,3808.59157676,-1,-1
330,3790,3801.69781752,3805.21129008,-1,0
331,3778,3793.79854501,3800.26378279,-1,0
332,3778,3788.53236334,3796.21582228,-1,0
333,3763,3780.02157556,3790.17658187,-1,0
334,3762,3774.01438371,3785.05356698,-1,0
335,3767,3771.6762558,3781.77110026,-1,0
336,3768,3770.4508372,3779.26726385,-1,0
337,3761,3767.30055814,3775.94594315,-1,0
338,3763,3765.86703876,3773.5921353,-1,0
339,3752,3761.2446925,3769.66629252,-1,0
340,3754,3758.829795,3766.8178757,-1,0
341,3746,3754.55319667,3763.03280739,-1,0
342,3753,3754.03546445,3761.20866059,-1,0
343,3746,3751.3569763,3758.44344958,-1,0
344,3741,3747.90465086,3755.27191329,-1,0
